uid	pubdate	authors	title	fulljournalname	elocationid
38594331	2024 Apr 9	"Geyer F, Geyer M, Reuning U, Klapproth S, Wolff KD, Nieberler M"	CHD4 acts as a prognostic factor and drives radioresistance in HPV negative HNSCC.	Scientific reports	doi: 10.1038/s41598-024-58958-z
38593585	2024 Jun	"Song Y, Guo JF, Lan PS, Wang M, Du QY"	Investigation of the pan-cancer property of FNDC1 and its molecular mechanism to promote lung adenocarcinoma metastasis.	Translational oncology	doi: 10.1016/j.tranon.2024.101953
38590909	2024 Apr 15	"Zhang FB, Gan L, Zhu TH, Ding HQ, Wu CH, Guan YT, Chen XQ"	Pan-cancer analyses reveal genomics and clinical outcome association of the fatty acid oxidation regulators in cancer.	Heliyon	doi: 10.1016/j.heliyon.2024.e28441
38590398	2024	"Wang H, Zhang Y, Du S"	"Integrated analysis of lactate-related genes identifies POLRMT as a novel marker promoting the proliferation, migration and energy metabolism of hepatocellular carcinoma via Wnt/β-Catenin signaling."	American journal of cancer research	doi: 10.62347/ZTTG4319
38589831	2024 Apr 8	"Sun H, Shang J, Liu X, Ren S, Hu S, Wang X"	Eukaryotic initiation factor 3a promotes the development of diffuse large B-cell lymphoma through regulating cell proliferation.	BMC cancer	doi: 10.1186/s12885-024-12166-0
38589634	2024 Apr 8	"Wang Y, Li Y, Jing Y, Yang Y, Wang H, Ismtula D, Guo C"	Tubulin alpha-1b chain was identified as a prognosis and immune biomarker in pan-cancer combing with experimental validation in breast cancer.	Scientific reports	doi: 10.1038/s41598-024-58982-z
38586115	2024	"Wang J, Gilani SF, Noor N, Ahmed MR, Munazir M, Zubair A, Sultan R, Abdel-Maksoud MA, Saleh IA, Zomot N, Kodous AS, Ibrahim SS, El-Tayeb MA, Aufy M, Zaky MY, Hassan SS, Hameed Y"	Decoding the DSCC1 gene as a pan-cancer biomarker in human cancers via comprehensive multi-omics analyses.	American journal of translational research	doi: 10.62347/YORR3755
38586106	2024	"Huang L, Irshad S, Sultana U, Ali S, Jamil A, Zubair A, Sultan R, Abdel-Maksoud MA, Mubarak A, Almunqedhi BM, Almanaa TN, Malik A, Alamri A, Kodous AS, Mares M, Zaky MY, Saba Sajjad S, Hameed Y"	"Pan-cancer analysis of HS6ST2: associations with prognosis, tumor immunity, and drug resistance."	American journal of translational research	doi: 10.62347/NCPH5416
38584831	2024	"Shen LP, Jiang HT"	Pan-cancer and single-cell analysis of actin cytoskeleton genes related to disulfidptosis.	"Open medicine (Warsaw, Poland)"	doi: 10.1515/med-2024-0929
38584561	2024 Apr 4	"Gong Q, Li Q, Shen X, Xu Z"	ERH Impacts Patient Prognosis and Tumor Immune Microenvironment: A Pan-Cancer Analysis.	Combinatorial chemistry & high throughput screening	doi: 10.2174/0113862073295696240322084341
38584169	2024 Apr 7	"Han F, Ma J"	Pan-cancer analysis reveals IL32 is a potential prognostic and immunotherapeutic biomarker in cancer.	Scientific reports	doi: 10.1038/s41598-024-58550-5
38581717	2024 Apr 5	"Chen Q, Ouyang L, Liu Q"	Cyclin B1: A potential prognostic and immunological biomarker in pan-cancer.	Biomolecules & biomedicine	doi: 10.17305/bb.2024.10253
38581448	2024 Jun 14	"Zhang W, Maeser D, Lee A, Huang Y, Gruener RF, Abdelbar IG, Jena S, Patel AG, Huang RS"	Integration of Pan-Cancer Cell Line and Single-Cell Transcriptomic Profiles Enables Inference of Therapeutic Vulnerabilities in Heterogeneous Tumors.	Cancer research	doi: 10.1158/0008-5472.CAN-23-3005
38579399	2024 May	"Ospital IA, Táquez Delgado MA, Nicoud MB, Corrêa MF, Borges Fernandes GA, Andrade IW, Lauretta P, Martínez Vivot R, Comba MB, Zanardi MM, Speisky D, Uriburu JL, Fernandes JPS, Medina VA"	Therapeutic potential of LINS01 histamine H(3) receptor antagonists as antineoplastic agents for triple negative breast cancer.	Biomedicine & pharmacotherapy = Biomedecine & pharmacotherapie	doi: 10.1016/j.biopha.2024.116527
38579174	2024 Apr 4	"Zhong Y, Zheng C, Zhang W, Wu H, Zhang Q, Li D, Ju H, Feng H, Chen Y, Fan Y, Chen W, Wang M, Wang G"	Pan-cancer analysis of Sushi domain-containing protein 4 (SUSD4) and validated in colorectal cancer.	Aging	doi: 10.18632/aging.205712
38577722	2024 Apr	"Jalali P, Samii A, Rezaee M, Shahmoradi A, Pashizeh F, Salehi Z"	UBE2C: A pan-cancer diagnostic and prognostic biomarker revealed through bioinformatics analysis.	"Cancer reports (Hoboken, N.J.)"	doi: 10.1002/cnr2.2032
38577529	2024 Mar 27	"Gan CJ, Zheng Y, Yang B, Cao LM"	Comprehensive prognostic and immune analysis of sterol O-acyltransferase 1 in patients with hepatocellular carcinoma.	World journal of hepatology	doi: 10.4254/wjh.v16.i3.439
38576589	2024 Mar 24	"Wu T, Ji MR, Luo LX"	Mechanisms and potential applications of COPS6 in pan-cancer therapy.	World journal of clinical oncology	doi: 10.5306/wjco.v15.i3.367
38576566	2024 Apr 15	"Wang J, Cai L, Huang G, Wang C, Zhang Z, Xu J"	CENPA and BRCA1 are potential biomarkers associated with immune infiltration in heart failure and pan-cancer.	Heliyon	doi: 10.1016/j.heliyon.2024.e28786
38576381	2024 Mar 20	"Qu L, Che H, Zhao J, Lu X, Ren Z, Wu Y, Liu Q, Guan H"	NCAPD3 is a prognostic biomarker and is correlated with immune infiltrates in glioma.	Histology and histopathology	doi: 10.14670/HH-18-736
38573525	2024 Apr 4	"Yan H, Wu X, Li H, Yu Z, Jin X"	Pan-Cancer Analysis Identifies BCLAF1 as a Potential Biomarker for Renal Cell Carcinoma.	Biochemical genetics	doi: 10.1007/s10528-024-10773-x
38566121	2024 Apr 2	"Shi HH, Mugaanyi J, Lu C, Li Y, Huang J, Dai L"	A paradigm shift in cancer research based on integrative multi-omics approaches: glutaminase serves as a pioneering cuproptosis-related gene in pan-cancer.	BMC women's health	doi: 10.1186/s12905-024-03061-8
38565806	2024 May	"Huang W, Zhang Y, Cao M, Wu Y, Jiao F, Chu Z, Zhou X, Li L, Xu D, Pan X, Guan Y, Huang G, Liu J, Xie F, Wei W"	ImmunoPET imaging of Trop2 in patients with solid tumours.	EMBO molecular medicine	doi: 10.1038/s44321-024-00059-5
38560576	2024	"Liu J, Li W, Lu R, Xu J, Jiang C, Duan J, Zhang L, Wang G, Chen J"	Investigation of the feasibility of NRAV as a biomarker for hepatocellular carcinoma.	Oncology research	doi: 10.32604/or.2023.043575
38560200	2024 Apr 15	"Lu W, Yang Z, Wang M, Li S, Bi H, Yang X"	Identification and verification of AK4 as a protective immune-related biomarker in adipose-derived stem cells and breast cancer.	Heliyon	doi: 10.1016/j.heliyon.2024.e27357
38560150	2024 Apr 15	"Shen C, Wang T, Li K, Fu C, Yang S, Zhang Z, Wu Z, Li Z, Li Z, Lin Y, Zhang Y, Guo J, Fan Z, Hu H"	The prognostic values and immune characteristics of polo-like kinases (PLKs) family: A pan-cancer multi-omics analysis.	Heliyon	doi: 10.1016/j.heliyon.2024.e28048
38559424	2023	"Wang S, Zhang M, Sun H, Li T, Hao J, Fang M, Dong J, Xu H"	Multi-omics analysis of TLCD1 as a promising biomarker in pan-cancer.	Frontiers in cell and developmental biology	doi: 10.3389/fcell.2023.1305906
38557756	2024 Jun 1	"Cheng T, Xie J, Yuan X, Guo M, Wu J, Wang M, Huang Z, Zhang J"	Site-specific Antibody-Nitric Oxide Conjugate HN02 Possesses Improved Antineoplastic and Safety Properties.	"Journal of immunotherapy (Hagerstown, Md. : 1997)"	doi: 10.1097/CJI.0000000000000507
38555596	2024 Mar 31	"Lu F, Gao G, Zhang H, Zhang W"	The relationship between polymorphism of IGF2BP2 gene rs4402960 and risk of pan-cancer: a meta-analysis and a bioinformatics analysis.	"Nucleosides, nucleotides & nucleic acids"	doi: 10.1080/15257770.2024.2333036
38555517	2024 Dec	"Li C, Xiao Y, Kong J, Lai C, Chen Z, Li Z, Xie W"	Elucidating the role of MICAL1 in pan-cancer using integrated bioinformatics and experimental approaches.	Cell adhesion & migration	doi: 10.1080/19336918.2024.2335682
38552217	2024 Mar 28	"Zhong Q, Hong W, Xiong L"	KIF3C: an emerging biomarker with prognostic and immune implications across pan-cancer types and its experiment validation in gastric cancer.	Aging	doi: 10.18632/aging.205694
38548811	2024 Mar 28	"Chowdhury D, Mistry A, Maity D, Bhatia R, Priyadarshi S, Wadan S, Chakraborty S, Haldar S"	Pan-cancer analyses suggest kindlin-associated global mechanochemical alterations.	Communications biology	doi: 10.1038/s42003-024-06044-5
38547613	2024 Jun	"Huang Z, Xu E, Ma X, Wang Y, Zhu J, Zhu K, Hu J, Zhang C"	Low NT5DC2 expression predicts favorable prognosis and suppresses soft tissue sarcoma progression via ECM-receptor interaction pathway.	Translational oncology	doi: 10.1016/j.tranon.2024.101937
38545680	2024 Apr 22	"Chen H, Yan D, Sun J, Zhou M"	Inference of Developmental Hierarchy and Functional States of Exhausted T Cells from Epigenetic Profiles with Deep Learning.	Journal of chemical information and modeling	doi: 10.1021/acs.jcim.4c00261
38544480	2024 Jun	"Liu Y, Yi J, Wu P, Zhang J, Li X, Li J, Zhou L, Liu Y, Xu H, Chen E, Zhang H, Liang M, Liu P, Pan X, Lu Y"	Wemics: A Single-Base Resolution Methylation Quantification Method for Enhanced Prediction of Epigenetic Regulation.	"Advanced science (Weinheim, Baden-Wurttemberg, Germany)"	doi: 10.1002/advs.202308884
38539263	2024 Mar 27	"Lin K, Wang Y, Liu F, You T, Liu X, Liu R, Li Z, Zhen C, Zhang Y, Liu X, Cai H"	Comprehensive analysis of the prognostic value and immunological role of IDO1 gene in pan-cancer.	European journal of medical research	doi: 10.1186/s40001-024-01766-y
38538696	2024 Mar 27	"Zhang W, Zhu Y, Liu H, Zhang Y, Liu H, Adegboro AA, Dang R, Dai L, Wanggou S, Li X"	Pan-cancer evaluation of regulated cell death to predict overall survival and immune checkpoint inhibitor response.	NPJ precision oncology	doi: 10.1038/s41698-024-00570-5
38537539	2024 May 10	"Li Y, Yang W, Liu C, Zhou S, Liu X, Zhang T, Wu L, Li X, Zhang J, Chang E"	SFXN1-mediated immune cell infiltration and tumorigenesis in lung adenocarcinoma: A potential therapeutic target.	International immunopharmacology	doi: 10.1016/j.intimp.2024.111918
38535087	2024 Mar 21	"Zhu Y, Tan L, Luo D, Wang X"	Identification and Validation of T-Cell Exhaustion Signature for Predicting Prognosis and Immune Response in Pancreatic Cancer by Integrated Analysis of Single-Cell and Bulk RNA Sequencing Data.	"Diagnostics (Basel, Switzerland)"	doi: 10.3390/diagnostics14060667
38529307	2024	"Jia Q, Li B, Wang X, Ma Y, Li G"	"Comprehensive analysis of peroxisome proliferator-activated receptors to predict the drug resistance, immune microenvironment, and prognosis in stomach adenocarcinomas."	PeerJ	doi: 10.7717/peerj.17082
38528630	2024 Mar 25	"Zhang Q, Zhang J, Lan T, He J, Lei B, Wang H, Mei Z, Lv C"	"Integrative analysis revealed a correlation of PIAS family genes expression with prognosis, immunomodulation and chemotherapy."	European journal of medical research	doi: 10.1186/s40001-024-01795-7
38528582	2024 Mar 25	"Dong J, Lv Y, Meng D, Shi R, Li F, Guo R, Wang Y, Guo J, Zhang Y"	LncRNA WFDC21P interacts with SEC63 to promote gastric cancer malignant behaviors by regulating calcium homeostasis signaling pathway.	Cancer cell international	doi: 10.1186/s12935-024-03297-2
38526609	2024 Mar 25	"Chang M, Li D, Su L, Ding C, Lu Z, Gao H, Sun F"	Nephroblastoma-specific dysregulated gene SNHG15 with prognostic significance: scRNA-Seq with bulk RNA-Seq data and experimental validation.	Discover oncology	doi: 10.1007/s12672-024-00946-w
38526604	2024 Mar 25	"Zhao X, Zhao R, Wen J, Zhang X, Wu S, Fang J, Ma J, Gao L, Hu Y"	Bioinformatics-based screening and analysis of the key genes involved in the influence of antiangiogenesis on myeloid-derived suppressor cells and their effects on the immune microenvironment.	"Medical oncology (Northwood, London, England)"	doi: 10.1007/s12032-024-02357-x
38523681	2024	"Wang X, Bai Y, Wang B"	Coactosin-Like Protein 1 (COTL1) Could Be an Immunological and Prognostic Biomarker: From Pan-Cancer Analysis to Low-Grade Glioma Validation.	Journal of inflammation research	doi: 10.2147/JIR.S453509
38523659	2024	"Chen J, Zhu H, Chen S, Mi H"	Apolipoprotein E is a Potential Biomarker for Predicting Cancer Prognosis and is Correlated with Immune Infiltration.	OncoTargets and therapy	doi: 10.2147/OTT.S447319
38519438	2024 May	"Cao Y, Fu A, Liu C"	Exploring the NRF2-TP53 Signaling Network Through Machine Learning and Pan-Cancer Analysis: Identifying Potential targets for Cancer Prognosis Related to Oxidative Stress.	Advanced biology	doi: 10.1002/adbi.202300659
38519054	2024 Mar 21	"Cornel AM, van der Sman L, van Dinter JT, Arrabito M, Dunnebach E, van Hoesel M, Kluiver TA, Lopes AP, Dautzenberg NMM, Dekker L, van Rijn JM, van den Beemt DAMH, Buhl JL, du Chatinier A, Barneh F, Lu Y, Lo Nigro L, Krippner-Heidenreich A, Sebestyén Z, Kuball J, Hulleman E, Drost J, van Heesch S, Heidenreich OT, Peng WC, Nierkens S"	Targeting pediatric cancers via T-cell recognition of the monomorphic MHC class I-related protein MR1.	Journal for immunotherapy of cancer	doi: 10.1136/jitc-2023-007538
38516269	2024	"Ma M, Li L, Yang SH, Huang C, Zhuang W, Huang S, Xia X, Tang Y, Li Z, Zhao ZB, Chen Q, Qiao G, Lian ZX"	Lymphatic endothelial cell-mediated accumulation of CD177(+)Treg cells suppresses antitumor immunity in human esophageal squamous cell carcinoma.	Oncoimmunology	doi: 10.1080/2162402X.2024.2327692
38509948	2024 Mar 30	"Xie J, Zhu L, Yang X, Yu F, Fan B, Wu Y, Zhou Z, Lin W, Yang Y"	"Combination of theoretical analysis and experiments: Exploring the role of PLA2G7 in human cancers, including renal cancer."	Heliyon	doi: 10.1016/j.heliyon.2024.e27906
38507067	2024 May	"Zhang L, Zhang X, Guan M, Zeng J, Yu F, Lai F"	Identification of a novel ADCC-related gene signature for predicting the prognosis and therapy response in lung adenocarcinoma.	Inflammation research : official journal of the European Histamine Research Society ... [et al.]	doi: 10.1007/s00011-024-01871-y
38507061	2024 Jun 5	"Wang M, Jiang M, Xie A, Zhang N, Xu Y"	Identification of CAF-related lncRNAs at the pan-cancer level represents a potential carcinogenic risk.	Human molecular genetics	doi: 10.1093/hmg/ddae042
38507057	2024 Mar 20	"Li F, Miao J, Liu R, Zhang R, He A"	Pan-cancer analysis of DDIT4 identifying its prognostic value and function in acute myeloid leukemia.	Journal of cancer research and clinical oncology	doi: 10.1007/s00432-024-05676-8
38503865	2024 Mar 19	"Lu KQ, Li ZL, Zhang Q, Yin Q, Zhang YL, Ni WJ, Jiang LZ, He W, Wang B"	"CDK12 is a potential biomarker for diagnosis, prognosis and immunomodulation in pan-cancer."	Scientific reports	doi: 10.1038/s41598-024-56831-7
38503143	2024 Apr	"Nishizaki D, Kurzrock R, Miyashita H, Adashek JJ, Lee S, Nikanjam M, Eskander RN, Patel H, Botta GP, Nesline MK, Pabla S, Conroy JM, DePietro P, Sicklick JK, Kato S"	Viewing the immune checkpoint VISTA: landscape and outcomes across cancers.	ESMO open	doi: 10.1016/j.esmoop.2024.102942
38502355	2024 Mar	"Song Y, Shen T, Sun H, Wang X"	Genome-wide analyses reveal the regulatory roles of DNA methylation-regulated alternative promoter transcripts in breast cancer.	Human genetics	doi: 10.1007/s00439-024-02653-6
38501918	2024 Mar 18	"Chang Q, Zhou X, Mao H, Feng J, Wu X, Zhang Z, Hu Z"	"ALKBH5 promotes hepatocellular carcinoma cell proliferation, migration and invasion by regulating TTI1 expression."	Biomolecules & biomedicine	doi: 10.17305/bb.2024.10247
38499806	2024 Mar 19	"Ji Y, Li C, Wan S, Zhang K, Liu Y, Shi S"	Comprehensive pan-cancer analysis reveals SIRT5 is a predictive biomarker for prognosis and immunotherapy response.	Functional & integrative genomics	doi: 10.1007/s10142-024-01338-7
38499391	2024 Mar 18	"Li Y, Yang X, Jin T, Li Q, Li X, Ma L"	"Correlation between S100A7 and immune characteristics, methylation, tumor stemness and tumor heterogeneity in pan-cancer and its role in chemotherapy resistance in breast cancer."	Aging	doi: 10.18632/aging.205665
38498906	2024 Mar 18	"Wu Y, Guo W, Wang T, Liu Y, Mullor MDMR, Rodrìguez RA, Zhao S, Wei R"	"The comprehensive landscape of prognosis, immunity, and function of the GLI family by pan-cancer and single-cell analysis."	Aging	doi: 10.18632/aging.205630
38498249	2024 Mar 18	"Liang D, Tang J, Sun B, He S, Yang D, Ma H, Yun Y, Zhu Y, Wei W, Chen H, Zhao X"	Novel CAR-T cells targeting TRKB for the treatment of solid cancer.	Apoptosis : an international journal on programmed cell death	doi: 10.1007/s10495-024-01936-7
38498101	2024 Mar 18	"Jacob S, Balonov I, Jurinovic V, Heiliger C, Tschaidse T, Kumbrink J, Kirchner T, Werner J, Angele MK, Michl M, Neumann J"	TGFβ signalling pathway impacts brain metastases profiles in locally advanced colorectal cancer.	Clinical & experimental metastasis	doi: 10.1007/s10585-024-10277-3
38497289	2024 Jun	"Lee HP, Li CJ, Lee CC"	EGFR overexpression and macrophage infiltration correlate with poorer prognosis in HPV-negative oropharyngeal cancer via STAT6 signaling.	Head & neck	doi: 10.1002/hed.27734
38496902	2024 Mar 30	"Wang Y, Wang J, Liu Y, Wang X, Ren M"	Multidimensional pan-cancer analysis of HSPA5 and its validation in the prognostic value of bladder cancer.	Heliyon	doi: 10.1016/j.heliyon.2024.e27184
38496547	2024 Mar 4	"Siwo GH, Singal AG, Waljee AK"	"Pan-cancer molecular signatures connecting aspartate transaminase (AST) to cancer prognosis, metabolic and immune signatures."	bioRxiv : the preprint server for biology	pii: 2024.03.01.582939. doi: 10.1101/2024.03.01.582939
38496356	2024	"Zhou T, Cao J, Tang Q, Jin J, Liang Y, Feng B"	Exploring the role of NAA40 in immune infiltrates and prognostic prediction in hepatocellular carcinoma.	American journal of clinical and experimental immunology	
38495498	2024	"Zhang D, Li J, Lu T, Zhao F, Guo P, Li Z, Duan X, Li Y, Li S, Li J"	Illuminating Shared Genetic Associations Between Oesophageal Carcinoma and Pulmonary Carcinoma Risk.	Journal of Cancer	doi: 10.7150/jca.92899
38494503	2024 Mar 17	"Jin W, Wang G, Dong M, Wang X"	PDCL3 is a prognostic biomarker associated with immune infiltration in hepatocellular carcinoma.	European journal of medical research	doi: 10.1186/s40001-024-01787-7
38493341	2024 Jan 22	"Yang C, Kumar H, Kim P"	"FusionNW, a potential clinical impact assessment of kinases in pan-cancer fusion gene network."	Briefings in bioinformatics	doi: 10.1093/bib/bbae097
38491127	2024 Mar 15	"Yuan Y, Fan Y, Tang W, Sun H, Sun J, Su H, Fan H"	Identification of ALYREF in pan cancer as a novel cancer prognostic biomarker and potential regulatory mechanism in gastric cancer.	Scientific reports	doi: 10.1038/s41598-024-56895-5
38486392	2024 Mar 13	"Luo J, Zhang Q, Wang S, Zheng L, Liu J, Zhang Y, Wang Y, Wang R, Xiao Z, Li Z"	Comprehensive Pan-cancer Analysis of CMPK2 as Biomarker and Prognostic Indicator for Immunotherapy.	Current cancer drug targets	doi: 10.2174/0115680096281451240306062101
38483604	2024 Mar 14	"Ren LK, Lu RS, Fei XB, Chen SJ, Liu P, Zhu CH, Wang X, Pan YZ"	Unveiling the role of PYGB in pancreatic cancer: a novel diagnostic biomarker and gene therapy target.	Journal of cancer research and clinical oncology	doi: 10.1007/s00432-024-05644-2
38482675	2024 Feb	"Brunelli M, Gobbo S, Malpeli G, Sirgiovanni G, Caserta C, Munari E, Francesconi S, Caliò A, Martignoni G, Cimadamore A, Veccia A, Antonelli A, Tucci M, Pierconti F, Hattab IM, Eccher A, Ascani S, Milella M, Buffoni L, Cheng L, Bracarda S"	"TROP-2, NECTIN-4 and predictive biomarkers in sarcomatoid and rhabdoid bladder urothelial carcinoma."	Pathologica	doi: 10.32074/1591-951X-937
38482448	2024 Feb 29	"Li X, Pan Y, Feng S, Xing W, Lin B, Li W, Li M, Zhu M"	"The diagnostic, prognostic, drug sensitivity and ceRNA internet of PPP4R1 in liver hepatocellular carcinoma (LIHC)."	Translational cancer research	doi: 10.21037/tcr-23-1744
38482443	2024 Feb 29	"Zhang G, Wang N, Ma S, Tao P, Cai H"	Comprehensive analysis of the effects of the cuprotosis-associated gene SLC31A1 on patient prognosis and tumor microenvironment in human cancer.	Translational cancer research	doi: 10.21037/tcr-23-1308
38482423	2024 Feb 29	"Zhang H, Liu J"	"NF2 is a candidate diagnosis, prognostic, and immunotherapeutic biomarker: a systematic pan-cancer analysis."	Translational cancer research	doi: 10.21037/tcr-23-1179
38482233	2024 Feb 29	"Zhang H, Liu R, Chen Y, Ma R, Xue Q, Sahu A, Yan X, Gu H"	The prognostic value and potential immunotherapeutic efficacy of ACVR1 in treating gastric cancer.	Journal of gastrointestinal oncology	doi: 10.21037/jgo-23-984
38476239	2024	"Lin W, Zhang S, Gu C, Zhu H, Liu Y"	"GLIPR2: a potential biomarker and therapeutic target unveiled - Insights from extensive pan-cancer analyses, with a spotlight on lung adenocarcinoma."	Frontiers in immunology	doi: 10.3389/fimmu.2024.1280525
38473938	2024 Feb 26	"Viet-Nhi NK, Minh Quan T, Cong Truc V, Anh Bich T, Hoang Nam P, Le NQK, Chen PY, Hung SH"	Multi-Omics Analysis Reveals the IFI6 Gene as a Prognostic Indicator and Therapeutic Target in Esophageal Cancer.	International journal of molecular sciences	doi: 10.3390/ijms25052691
38472489	2024 Mar 12	"Wu R, Li D, Zhang S, Wang J, Chen K, Tuo Z, Miyamoto A, Yoo KH, Wei W, Zhang C, Feng D, Han P"	A pan-cancer analysis of the oncogenic and immunological roles of transglutaminase 1 (TGM1) in human cancer.	Journal of cancer research and clinical oncology	doi: 10.1007/s00432-024-05640-6
38468956	2024 Mar 15	"Tan Z, Li H, Huang Y, Fu S, Wang H, Wang J"	Multi-omics landscape analysis reveals the pan-cancer association of arginine biosynthesis genes with tumor immune evasion and therapy resistance.	Heliyon	doi: 10.1016/j.heliyon.2024.e26804
38468942	2024 Mar 15	"Zheng P, Tan Y, Liu Q, Wu C, Kang J, Liang S, Zhu L, Yan K, Zeng L, Chen B"	"Deciphering the molecular and clinical characteristics of TREM2, HCST, and TYROBP in cancer immunity: A comprehensive pan-cancer study."	Heliyon	doi: 10.1016/j.heliyon.2024.e26993
38467619	2024 Mar 11	"Pandini C, Pagani G, Tassinari M, Vitale E, Bezzecchi E, Saadeldin MK, Doldi V, Giannuzzi G, Mantovani R, Chiara M, Ciarrocchi A, Gandellini P"	The pancancer overexpressed NFYC Antisense 1 controls cell cycle mitotic progression through in cis and in trans modes of action.	Cell death & disease	doi: 10.1038/s41419-024-06576-y
38463813	2024 Mar 15	"Yu F, Lou S, He H, Zhou Y"	Potential role of POFUT1 as a prognostic predictor in low-grade gliomas: Immune microenvironment insights from a pan-cancer analysis.	Heliyon	doi: 10.1016/j.heliyon.2024.e27004
38463578	2024	"Hu H, Umair M, Khan SA, Sani AI, Iqbal S, Khalid F, Sultan R, Abdel-Maksoud MA, Mubarak A, Dawoud TM, Malik A, Saleh IA, Al Amri AA, Algarzae NK, Kodous AS, Hameed Y"	"CDCA8, a mitosis-related gene, as a prospective pan-cancer biomarker: implications for survival prognosis and oncogenic immunology."	American journal of translational research	
38459370	2024 Jun	"Wang B, Zhang S, Wang H, Wang M, Tao Y, Ye M, Fan Z, Wang Y, Liu L"	Identification of EGR4 as a prospective target for inhibiting tumor cell proliferation and a novel biomarker in colorectal cancer.	Cancer gene therapy	doi: 10.1038/s41417-024-00743-1
38455068	2024 Dec	"Wang Z, Chen H, Sun L, Wang X, Xu Y, Tian S, Liu X"	Uncovering the potential of APOD as a biomarker in gastric cancer: A retrospective and multi-center study.	Computational and structural biotechnology journal	doi: 10.1016/j.csbj.2024.02.015
38454924	2024	"Huang Y, Guo W, Zeng Y, Wang X, Fan B, Zhang Y, Yan L, Gu G, Liu Z"	Identification and validation of a gap junction protein related signature for predicting the prognosis of renal clear cell carcinoma.	Frontiers in oncology	doi: 10.3389/fonc.2024.1354049
38453992	2024 Mar 7	"Tao S, Tao K, Cai X"	Pan-cancer analysis reveals PDK family as potential indicators related to prognosis and immune infiltration.	Scientific reports	doi: 10.1038/s41598-024-55455-1
38451188	2024 Mar 6	"Li H, Liu J, Wang S, Xu Y, Tang Q, Ying G"	4-Hydroxyphenylpyruvate Dioxygenase-Like predicts the prognosis and the immunotherapy response of cancers: a pan-cancer analysis.	Aging	doi: 10.18632/aging.205591
38448143	2024	"Srivastava A, Srivastava S"	Multiomics data identifies RSPO2 as a prognostic biomarker in human tumors associated with pan-cancer.	Advances in protein chemistry and structural biology	doi: 10.1016/bs.apcsb.2023.11.011
38444475	2024 Mar 15	"Cai Y, Gao Y, Lv Y, Chen Z, Zhong L, Chen J, Fan Y"	Multicomponent comprehensive confirms that erythroferrone is a molecular biomarker of pan-cancer.	Heliyon	doi: 10.1016/j.heliyon.2024.e26990
38443946	2024 Mar 5	"Zhao Z, Wang R, Wang R, Song J, Ma F, Pan H, Gao C, Wang D, Chen X, Fan X"	Pancancer analysis of the prognostic and immunological role of FANCD2: a potential target for carcinogenesis and survival.	BMC medical genomics	doi: 10.1186/s12920-024-01836-4
38441026	2024	"Ding X, Wan A, Qi X, Jiang K, Liu Z, Chen B"	"ZNF695, A Potential Prognostic Biomarker, Correlates with Im mune Infiltrates in Cervical Squamous Cell Carcinoma and Endoce rvical Adenocarcinoma: Bioinformatic Analysis and Experimental Verification."	Current gene therapy	doi: 10.2174/0115665232285216240228071244
38439884	2024 Mar 15	"Wan R, Chen Y, Feng X, Luo Z, Peng Z, Qi B, Qin H, Lin J, Chen S, Xu L, Tang J, Zhang T"	Exercise potentially prevents colorectal cancer liver metastases by suppressing tumor epithelial cell stemness via RPS4X downregulation.	Heliyon	doi: 10.1016/j.heliyon.2024.e26604
38439879	2024 Mar 15	"Li M, Lu M, Li J, Gui Q, Xia Y, Lu C, Shu H"	Classification of molecular subtypes for colorectal cancer and development of a prognostic model based on necroptosis-related genes.	Heliyon	doi: 10.1016/j.heliyon.2024.e26781
38438492	2024 Mar 4	"Xu X, Zhong D, Wang X, Luo F, Zheng X, Feng T, Chen R, Cheng Y, Wang Y, Ma G"	"Pan-cancer integrated analysis of ANKRD1 expression, prognostic value, and potential implications in cancer."	Scientific reports	doi: 10.1038/s41598-024-56105-2
38436455	2024 Mar 4	"Wang J, Zhou J, Wang M"	Pan-cancer image segmentation based on feature pyramids and Mask R-CNN framework.	Medical physics	doi: 10.1002/mp.17014
38434965	2024	"Niu W, Yang Y, Teng Y, Zhang N, Li X, Qin Y"	Pan-Cancer Analysis of PGAM1 and Its Experimental Validation in Uveal Melanoma Progression.	Journal of Cancer	doi: 10.7150/jca.93398
38432483	2024 Jun	"Murugesan D, Kannan B, As SG, Jayaseelan VP, Arumugam P"	Alteration of SERPINH1 is associated with elevated expression in head and neck squamous cell carcinomas and its clinicopathological significance.	"Journal of stomatology, oral and maxillofacial surgery"	doi: 10.1016/j.jormas.2024.101811
38426619	2024 Feb	"Kamal MV, Damerla RR, Parida P, Rao M, Belle VS, Dikhit PS, Palod A, Gireesh R, Kumar NA"	Expression of PTGS2 along with genes regulating VEGF signalling pathway and association with high-risk factors in locally advanced oral squamous cell carcinoma.	Cancer medicine	doi: 10.1002/cam4.6986
38425404	2024 Feb 15	"Wu HM, Huang YY, Xu YQ, Xiang WL, Yang C, Liu RY, Li D, Guo XF, Zhang ZB, Bei CH, Tan SK, Zhu XN"	Comprehensive analysis of the protein phosphatase 2A regulatory subunit B56ε in pan-cancer and its role and mechanism in hepatocellular carcinoma.	World journal of gastrointestinal oncology	doi: 10.4251/wjgo.v16.i2.475
